Hotel Name,Address,Score,Number of reviews,Price,Room type,Star rating,Room view,Swimming pool,Restaurant,Parking,Wheelchair accessibility
"Makkah Clock Royal Tower, A Fairmont Hotel","Ajyad, Makkah",8.1,0,"SAR 4,448",Fairmont King Room with City View,5.0,no,no,yes,no,no
أجنحة العلمين,Tabuk,8.9,454,"SAR 1,850",Two-Bedroom Apartment,4.0,no,no,no,no,no
Ewaa Express Hotel - Khurais,Riyadh,8.3,0,"SAR 1,675",Standard Double Room,3.0,no,no,yes,no,no
Palms Lily Hotel Suites,Al Ahsa,5.9,0,SAR 800,Studio,0,yes,no,no,yes,no
Banyan Tree AlUla,AlUla,9.0,129,"SAR 6,503",One-Bedroom Villa,5.0,yes,yes,yes,yes,no
فندق فيفاء,Fayfāʼ,6.4,234,"SAR 1,495",Double Room,0,no,no,no,no,no
Movenpick Hotel and Residences Riyadh,Riyadh,8.8,0,"SAR 5,639",Superior King Room,5.0,no,no,yes,no,no
BN Residence,"Al Olayya, Al Khobar",9.2,0,"SAR 1,680",Standard King Room,0,no,no,no,no,no
Address Sharurah Hotel,Sharurah,7.5,63,"SAR 1,225",Family Room with Bath,4.0,yes,no,yes,yes,yes
Lily Hotel Suite Hofuf,Al Hofuf,8.4,0,"SAR 1,200",King Studio,0,no,no,no,yes,yes
Mirada Purple - Zahra,Jeddah,8.3,0,"SAR 1,335",Studio,4.0,yes,no,no,yes,yes
Boudl Khamis Mushait,Khamis Mushayt,9.4,229,"SAR 1,650",Economy Twin Room,0,no,no,no,no,no
Grand Hyatt Al Khobar Hotel and Residences,Al Khobar,8.9,0,"SAR 4,250",King Room,5.0,yes,yes,yes,yes,yes
"Al Ahsa InterContinental, an IHG Hotel",Al Ahsa,8.5,236,"SAR 2,816",Classic King Room - Smoking,5.0,yes,yes,yes,yes,yes
Narcissus Al Hamra Hotel Jeddah,Jeddah,9.1,0,"SAR 5,432",Premium Room with City View,5.0,no,yes,yes,no,no
Raoum Inn Buraydah,Buraydah,8.0,920,"SAR 1,064",Deluxe Double Room,0,yes,no,yes,no,no
HIGH VIEW HOTEL فندق عالية الاطلالة,Hafr Al Baten,9.2,105,"SAR 1,400",Duplex Apartment,0,no,no,no,no,no
Al Muhaidb Residence Al Takhassusi,"Al Olaya, Riyadh",6.5,0,"SAR 1,674",Junior Suite,0,no,yes,no,no,no
منتجع واحة الفريد للايواء السياحي بمدينة العلا,AlUla,7.8,35,"SAR 4,950",King Room with Mountain View,0,no,no,no,no,no
Ottoman Signature Hotel,Al Khobar,6.9,0,SAR 975,Economy Twin Room,0,yes,no,no,no,no
Vista Haql Hotel,Al Humaizah,9.2,6,"SAR 3,500",Double Room with Sea View,4.0,yes,yes,no,no,no
Arif Housing Units,Buraydah,8.6,0,"SAR 1,100",Standard Double Room,0,yes,no,no,no,yes
Mövenpick Hotel Qassim,Buraydah,8.9,0,"SAR 3,440",Deluxe King Room,5.0,yes,yes,yes,yes,yes
Best Western Plus Buraidah,Buraydah,8.2,0,"SAR 1,326",Grand Smoking 1 King Bed Room,3.0,no,no,no,no,no
Ewaa Express Hotel - Al Jouf,Sakakah,8.9,752,"SAR 1,485",Standard Double Room,3.0,no,no,yes,yes,no
Our Habitas AlUla,AlUla,9.3,928,"SAR 7,844",Canyon Villa,5.0,no,yes,yes,no,no
Al Farhan Hotel & Suites Hafr Al Batin,Abū Qa‘ar,8.1,572,SAR 630,Deluxe Family Room,3.0,yes,no,yes,yes,no
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,8.2,0,"SAR 4,000",Standard Double Room,5.0,yes,yes,yes,yes,yes
Marina Arar Furnished Apartments,Arar,8.6,0,SAR 925,One-Bedroom Apartment with Living Room,0,no,no,no,yes,no
Karims Hotel,Al Majmaah,8.0,204,"SAR 1,527",Deluxe Twin Room,2.0,yes,no,no,yes,yes
Novotel Jazan,Jazan,8.7,0,"SAR 1,740",Standard Double Room,5.0,yes,yes,yes,yes,yes
Best Western Plus Al Qurayyat City Center,Al Qurayyat,8.7,231,"SAR 1,853",Superior King Room - Non-Smoking,4.0,yes,yes,yes,no,no
Views Hotel & Residences,King Abdullah Economic City,8.5,0,"SAR 4,055",Studio with Courtyard View,0,yes,no,yes,yes,no
Raoum Inn Majmaa,Al Majmaah,6.4,486,SAR 851,Junior Suite,0,no,no,no,yes,no
Golden Bujari Bisha جولدن بوجاري بيشة,Qal'at Bishah,8.6,376,"SAR 1,995",Junior Suite,4.0,yes,no,no,yes,yes
Boudl Majmaa,Al Majmaah,8.1,700,"SAR 1,236",Standard Room With King Bed,0,no,yes,yes,yes,no
Grand Millennium Gizan,Jazan,8.2,0,"SAR 2,600",Deluxe King Bed Room - Non Sea View,5.0,yes,yes,yes,yes,yes
Raoum Inn Khafji Southern,Al Khafji,6.0,798,SAR 723,Superior Double Room,0,no,no,no,yes,no
فندق ادوماتو ADOMATo HOTEl,Dawmat al Jandal,8.0,103,"SAR 1,100",One-Bedroom Suite,2.0,no,yes,yes,yes,yes
Raoum Inn Sakaka,Sakakah,7.7,457,"SAR 1,064",Superior Double Room,0,no,no,yes,yes,no
Mirada Gold Jizan - Resort & Private Pools,Jazan,8.4,0,"SAR 1,610",One-Bedroom Villa,5.0,no,no,no,yes,yes
Waves Hotel,Umm Lajj,9.4,860,"SAR 4,400",King Room with Mountain View,5.0,yes,yes,yes,yes,yes
إطلالة الواحة للوحدات السكنية المخدومة,Al Majmaah,8.1,342,SAR 894,Studio,0,yes,no,no,yes,yes
Boudl Mahayel Aseer,Muhayil,8.1,967,"SAR 1,236",Standard Double Room,0,yes,yes,no,yes,no
Raoum Inn Khafji Corniche,Al Khafji,8.3,352,"SAR 1,489",Double or Twin Room with Side Sea View,0,yes,yes,yes,yes,yes
Ramada Hotel & Suites by Wyndham Al Qassim,Al Bukayriyah,8.9,0,"SAR 2,250",King Room - Smoking,5.0,yes,yes,yes,yes,yes
Makarim Palm Hotel,Rabigh,6.9,240,"SAR 1,013",One-Bedroom Apartment,0,yes,no,no,yes,no
Malfa Hotel Apartments,Qal'at Bishah,8.1,823,"SAR 1,250",Twin Room with Private Bathroom,0,yes,no,no,yes,yes
Intour Al Khafji Hotel,Al Khafji,7.7,474,"SAR 1,465",Deluxe  Room,4.0,no,no,yes,yes,no
شقق الورود بارك,Al Mikhlaf,7.981994047619047,0,"SAR 1,390",One-Bedroom Apartment,0,yes,no,no,yes,no
سما2,Yanbu,8.0,103,SAR 855,Deluxe Room (2 Adults + 1 Child),0,no,no,no,yes,no
Tamyoz Aparthotel 2,Hail,7.1,629,"SAR 1,150",Deluxe Studio,0,yes,yes,no,yes,no
Crown Tower Hotel,Al Jubail,8.1,0,"SAR 1,478",Superior Double Room,4.0,yes,no,yes,yes,no
Top View - شقق المنظر,Al Hofuf,8.0,0,"SAR 1,046",Budget Double Room,0,yes,no,no,yes,no
Al Jahwah hotel,Al Namas,8.0,463,"SAR 1,110",Deluxe King Room,0,no,no,no,yes,no
AlRayah Hotel,Jazan,9.0,279,"SAR 1,650",Deluxe Double Room,3.0,yes,no,no,yes,no
جوان سويت للشقق المخدومة,Jeddah,7.6,118,"SAR 1,500",Triple Room,3.0,no,no,no,yes,no
Shaza Riyadh,Riyadh,8.2,0,"SAR 2,900",Superior King Room,4.0,no,yes,no,yes,no
Jeddah Hilton,"Al Shatiea, Jeddah",7.9,0,"SAR 6,300",Deluxe King Room with City View,5.0,no,yes,no,yes,yes
Fakhamat Al Orjoana & Suites,Sakakah,7.2,462,SAR 900,One-Bedroom Apartment,0,yes,no,yes,no,no
Reef Al Malaz International Hotel by Al Azmy,"Al Malaz, Riyadh",4.6,0,SAR 633,Standard King Room,3.0,no,no,no,yes,no
أجنحة هدوء الفندقية,Riyadh,6.4,5,"SAR 1,750",Two-Bedroom Apartment,0,no,no,no,no,no
Aber Abha,Abha,9.1,318,"SAR 1,635",Budget Double Room,3.0,no,no,no,yes,no
